Date;Bitfinex;Cex.io;Poloniex
11/4/2017 9:31:39 PM;;;
11/4/2017 9:31:49 PM;;;
11/4/2017 9:31:59 PM;;;
11/4/2017 9:32:22 PM;;;
11/4/2017 9:32:32 PM;;;
11/4/2017 9:33:16 PM;;;
11/4/2017 9:33:13 PM;;;
11/4/2017 9:35:32 PM;0.040142;0.04011184;
11/4/2017 9:35:40 PM;0.040133;0.04011184;
11/4/2017 9:36:29 PM;0.040133;0.04011184;
11/4/2017 9:37:13 PM;0.040063;0.04011184;
11/4/2017 9:38:48 PM;0.040161;0.04025168;0.04002147
11/4/2017 9:39:07 PM;0.040167;0.04025168;0.040043
11/4/2017 9:39:16 PM;0.040174;0.04025168;0.0400465
11/4/2017 9:39:26 PM;0.04017;0.04025168;0.0400465
11/4/2017 9:39:49 PM;0.040172;0.04012234;0.040051
11/4/2017 9:39:49 PM;0.040173;0.04012234;0.040051
11/4/2017 9:39:56 PM;0.04017;0.04012234;0.040051
11/4/2017 9:40:06 PM;0.04017;0.04012234;0.04005395
11/4/2017 9:40:16 PM;0.04017;0.04012234;0.04005395
11/4/2017 9:40:26 PM;0.04017;0.04012234;0.04005611
11/4/2017 9:40:36 PM;0.04017;0.04012234;0.04005611
11/4/2017 9:40:51 PM;0.04017;0.04012234;0.04005689
11/4/2017 9:41:07 PM;0.04017;0.04012234;0.04005761
11/4/2017 9:41:17 PM;0.04015;0.04012234;0.04010672
11/4/2017 9:41:18 PM;0.04017;0.04012234;0.04010672
11/4/2017 9:41:26 PM;0.0401;0.04012234;0.0400114
11/4/2017 9:41:36 PM;0.040139;0.04012234;0.03998007
11/4/2017 9:41:47 PM;0.0401;0.04012234;0.0400792
11/4/2017 9:41:57 PM;0.0401;0.04012234;0.03998017
11/4/2017 9:42:06 PM;0.0401;0.04012234;0.03998
11/4/2017 9:42:16 PM;0.0401;0.04012234;0.0399815
11/4/2017 9:42:27 PM;0.0401;0.04012234;0.04006294
11/4/2017 9:42:36 PM;0.0401;0.04012234;0.04006294
11/4/2017 9:42:46 PM;0.0401;0.04012234;0.0399313
11/4/2017 9:42:56 PM;0.0401;0.04012234;0.0400597
11/4/2017 9:43:06 PM;0.0401;0.04012234;0.03993133
11/4/2017 9:43:16 PM;0.040106;0.04012234;0.0399617
11/4/2017 9:43:26 PM;0.0401;0.04012234;0.03996171
11/4/2017 9:43:36 PM;0.0401;0.04012234;0.03996179
11/4/2017 9:43:46 PM;0.040076;0.04012234;0.04002259
11/4/2017 9:43:56 PM;0.040105;0.04012234;0.04002253
11/4/2017 9:44:06 PM;0.040105;0.04012234;0.03996191
11/4/2017 9:44:16 PM;0.040105;0.04012234;0.03996191
11/4/2017 9:44:26 PM;0.040016;0.04012234;0.03996191
11/4/2017 9:44:37 PM;0.040089;0.04012234;0.03993501
11/4/2017 9:44:47 PM;0.040089;0.04012234;0.03996188
11/4/2017 9:44:56 PM;0.040089;0.04012234;0.03996191
11/4/2017 9:45:06 PM;0.040089;0.04012234;0.03996191
11/4/2017 9:45:17 PM;0.040089;0.04012234;0.03996191
11/4/2017 9:45:26 PM;0.040052;0.04012234;0.040009
11/4/2017 9:45:36 PM;0.040045;0.04012234;0.0400086
11/4/2017 9:45:46 PM;0.040045;0.04012234;0.04002301
11/4/2017 9:45:56 PM;0.040056;0.04012234;0.04002301
11/4/2017 9:46:06 PM;0.040056;0.04012234;0.039976
11/4/2017 9:46:16 PM;0.040034;0.04012234;0.039991
11/4/2017 9:46:26 PM;0.040034;0.04012234;0.03999103
11/4/2017 9:46:36 PM;0.040031;0.04012234;0.040001
11/4/2017 9:46:46 PM;0.040009;0.04012234;0.040001
11/4/2017 9:46:56 PM;0.040009;0.04012234;0.04
11/4/2017 9:47:06 PM;0.04001;0.04012234;0.03998606
11/4/2017 9:47:16 PM;0.04001;0.04012234;0.039995
11/4/2017 9:47:26 PM;0.04001;0.04012234;0.03996623
11/4/2017 9:47:36 PM;0.04001;0.04012234;0.039995
11/4/2017 9:47:46 PM;0.04;0.04012234;0.040001
11/4/2017 9:47:56 PM;0.039997;0.04012234;0.03996662
11/4/2017 9:48:11 PM;0.039997;0.04012234;0.03996662
11/4/2017 9:48:16 PM;0.039997;0.04012234;0.03996662
11/4/2017 9:48:26 PM;0.039995;0.04012234;0.03996675
11/4/2017 9:48:36 PM;0.039995;0.04012234;0.03996675
11/4/2017 9:48:47 PM;0.039995;0.04012234;0.03996699
11/4/2017 9:48:56 PM;0.039995;0.04012234;0.03996699
11/4/2017 9:49:06 PM;0.03999;0.04012234;0.03996721
11/4/2017 9:49:25 PM;0.039991;0.04012234;0.03997106
11/4/2017 9:49:27 PM;0.039991;0.04012234;0.03996762
11/4/2017 9:49:36 PM;0.039991;0.04012234;0.03996762
11/4/2017 9:49:46 PM;0.039991;0.04012234;0.03996762
11/4/2017 9:49:56 PM;0.039991;0.04012234;0.03996793
11/4/2017 9:50:06 PM;0.039991;0.04012234;0.04
11/4/2017 9:50:16 PM;0.039991;0.04012234;0.04
11/4/2017 9:50:26 PM;0.039995;0.04012234;0.03999903
11/4/2017 9:50:36 PM;0.039995;0.04012234;0.04007999
11/4/2017 9:50:46 PM;0.039995;0.04000083;0.040085
11/4/2017 9:50:56 PM;0.040008;0.040163;0.04008
11/4/2017 9:51:06 PM;0.04001;0.04000091;0.04008
11/4/2017 9:51:16 PM;0.04001;0.04000091;0.04008
11/4/2017 9:51:26 PM;0.04001;0.04000091;0.04008
11/4/2017 9:51:36 PM;0.039994;0.04000091;0.04008499
11/4/2017 9:51:46 PM;0.040075;0.04000091;0.04008499
11/4/2017 9:51:56 PM;0.040126;0.04000091;0.04001001
11/4/2017 9:52:06 PM;0.040126;0.04000091;0.04001001
11/4/2017 9:52:19 PM;0.040047;0.04000091;0.040085
11/4/2017 9:52:26 PM;0.040077;0.04000091;0.04009
11/4/2017 9:52:36 PM;0.040076;0.04000091;0.04009
11/4/2017 9:52:46 PM;0.040076;0.04000091;0.04009
11/4/2017 9:52:56 PM;0.04007;0.04000091;0.040085
11/4/2017 9:53:06 PM;0.040069;0.04000091;0.040085
11/4/2017 9:53:16 PM;0.040076;0.04000091;0.04009
11/4/2017 9:53:26 PM;0.040059;0.04000091;0.04009
11/4/2017 9:53:43 PM;0.04007;0.04000091;0.04001501
11/4/2017 9:53:46 PM;0.040069;0.04000091;0.04001501
11/4/2017 9:53:56 PM;0.040079;0.04000091;0.04002901
11/4/2017 9:54:08 PM;0.040081;0.04000091;0.04004404
11/4/2017 9:54:16 PM;0.040081;0.04000091;0.04004404
11/4/2017 9:54:26 PM;0.040086;0.04000091;0.04009
11/4/2017 9:54:36 PM;0.040086;0.04000091;0.03997834
11/4/2017 9:54:46 PM;0.040086;0.04000091;0.04010194
11/4/2017 9:54:56 PM;0.040086;0.04000091;0.04000004
11/4/2017 9:55:07 PM;0.040092;0.04000091;0.04010191
11/4/2017 9:55:17 PM;0.040092;0.04000091;0.04006093
11/4/2017 9:55:26 PM;0.040122;0.04000091;0.0401
11/4/2017 9:55:36 PM;0.040091;0.04000091;0.04013
11/4/2017 9:55:46 PM;0.040096;0.04000091;0.04010003
11/4/2017 9:55:56 PM;0.040096;0.04000091;0.0401
11/4/2017 9:56:06 PM;0.040107;0.04000091;0.0401
11/4/2017 9:56:21 PM;0.040112;0.04000091;0.0401
11/4/2017 9:56:26 PM;0.040112;0.04000091;0.04009
11/4/2017 9:56:36 PM;0.040114;0.04000091;0.04009
11/4/2017 9:56:46 PM;0.040015;0.04000091;0.03997842
11/4/2017 9:56:56 PM;0.040104;0.04000091;0.03997842
11/4/2017 9:57:06 PM;0.040089;0.04000091;0.04009
11/4/2017 9:57:19 PM;0.040041;0.04000091;0.04009
11/4/2017 9:57:26 PM;0.04008;0.04000091;0.0401
11/4/2017 9:57:36 PM;0.040078;0.04000091;0.0401
11/4/2017 9:57:46 PM;0.040074;0.04000091;0.04019
11/4/2017 9:57:56 PM;0.040074;0.04000091;0.04019
11/4/2017 9:58:06 PM;0.040062;0.04000091;0.04009
11/4/2017 9:58:16 PM;0.040051;0.04000091;0.04009
11/4/2017 9:58:26 PM;0.040044;0.04000091;0.04009
11/4/2017 9:58:36 PM;0.040047;0.04000091;0.03998095
11/4/2017 9:58:46 PM;0.040049;0.04000091;0.03998104
11/4/2017 9:58:56 PM;0.040043;0.04000091;0.0401093
11/4/2017 9:59:06 PM;0.040049;0.04000091;0.0401093
11/4/2017 9:59:16 PM;0.040049;0.04000091;0.03998345
11/4/2017 9:59:26 PM;0.040076;0.04000091;0.03999803
11/4/2017 9:59:36 PM;0.040084;0.04000091;0.04000806
11/4/2017 9:59:47 PM;0.040058;0.04000091;0.04000806
11/4/2017 9:59:57 PM;0.040057;0.04000091;0.04000806
11/4/2017 10:00:06 PM;0.040047;0.04000091;0.04002803
11/4/2017 10:00:16 PM;0.040034;0.04000091;0.04002803
11/4/2017 10:00:26 PM;0.040034;0.04000091;0.04004306
11/4/2017 10:00:36 PM;0.040017;0.04000091;0.04004306
11/4/2017 10:00:46 PM;0.039943;0.04000091;0.03996872
11/4/2017 10:00:56 PM;0.039943;0.04000091;0.03996872
11/4/2017 10:01:06 PM;0.039992;0.04000091;0.040069
11/4/2017 10:01:16 PM;0.039992;0.04000091;0.040069
11/4/2017 10:01:26 PM;0.039971;0.04000091;0.03996896
11/4/2017 10:01:36 PM;0.039988;0.04000091;0.04004097
11/4/2017 10:01:46 PM;0.039993;0.04000091;0.04003599
11/4/2017 10:01:56 PM;0.039993;0.04000091;0.04003599
11/4/2017 10:02:06 PM;0.039993;0.04000091;0.04003599
11/4/2017 10:02:16 PM;0.039993;0.04000091;0.03996935
11/4/2017 10:02:29 PM;0.039998;0.04000091;0.0399692
11/4/2017 10:02:36 PM;0.039995;0.04000091;0.0399692
11/4/2017 10:02:46 PM;0.039995;0.04000091;0.0399692
11/4/2017 10:02:57 PM;0.03998;0.04000091;0.03996097
11/4/2017 10:03:06 PM;0.03998;0.04000091;0.0399692
11/4/2017 10:03:17 PM;0.039969;0.04000091;0.03990103
11/4/2017 10:03:26 PM;0.039969;0.04000091;0.03990103
11/4/2017 10:03:36 PM;0.03998;0.04000091;0.03990103
11/4/2017 10:03:46 PM;0.03998;0.04001101;0.03996893
11/4/2017 10:03:56 PM;0.03998;0.04001101;0.03991427
11/4/2017 10:04:06 PM;0.03998;0.04001101;0.03991501
11/4/2017 10:04:16 PM;0.03998;0.04001101;0.03991641
11/4/2017 10:04:26 PM;0.03998;0.04001101;0.03991641
11/4/2017 10:04:36 PM;0.039973;0.04001101;0.03991641
11/4/2017 10:04:46 PM;0.039973;0.04001101;0.03990033
11/4/2017 10:04:56 PM;0.039973;0.04001101;0.0399185
11/4/2017 10:05:06 PM;0.039973;0.04001101;0.0399185
11/4/2017 10:05:16 PM;0.039973;0.04001101;0.03995
11/4/2017 10:05:26 PM;0.039979;0.04001101;0.03992074
11/4/2017 10:05:36 PM;0.039979;0.04001101;0.03993421
11/4/2017 10:05:46 PM;0.03998;0.04001101;0.03995
11/4/2017 10:05:56 PM;0.03998;0.04001101;0.03994171
11/4/2017 10:06:06 PM;0.03998;0.04001101;0.03995
11/4/2017 10:06:16 PM;0.039979;0.04001101;0.03995
11/4/2017 10:06:27 PM;0.039979;0.04001101;0.03995
11/4/2017 10:06:39 PM;0.039975;0.04001101;0.03995
11/4/2017 10:06:46 PM;0.039967;0.04001101;0.03995
11/4/2017 10:06:56 PM;0.039946;0.04001101;0.03990091
11/4/2017 10:07:06 PM;0.039946;0.04001101;0.0399
11/4/2017 10:07:16 PM;0.039965;0.04001101;0.039954
11/4/2017 10:07:26 PM;0.03997;0.04001101;0.039954
11/4/2017 10:07:36 PM;0.039965;0.04001101;0.03995
11/4/2017 10:07:46 PM;0.03998;0.04001101;0.03995
11/4/2017 10:07:56 PM;0.039979;0.04001101;0.03995
11/4/2017 10:08:06 PM;0.03998;0.04001101;0.03995
11/4/2017 10:08:18 PM;0.03998;0.04001101;0.039964
11/4/2017 10:08:33 PM;0.03998;0.04000079;0.03995
11/4/2017 10:08:36 PM;0.03998;0.04000079;0.039964
11/4/2017 10:08:46 PM;0.039988;0.04000079;0.03995
11/4/2017 10:08:56 PM;0.039978;0.04000079;0.039945
11/4/2017 10:09:06 PM;0.039983;0.04000079;0.039945
11/4/2017 10:09:16 PM;0.039982;0.04000079;0.03989249
11/4/2017 10:09:26 PM;0.039982;0.04000079;0.03989252
11/4/2017 10:09:38 PM;0.039988;0.04000079;0.03996391
11/4/2017 10:09:46 PM;0.039982;0.04000079;0.03996391
11/4/2017 10:09:56 PM;0.039982;0.04000079;0.03996388
11/4/2017 10:10:08 PM;0.039972;0.04000079;0.03996884
11/4/2017 10:10:16 PM;0.039988;0.04000079;0.03996388
11/4/2017 10:10:26 PM;0.039979;0.04000079;0.03996388
11/4/2017 10:10:36 PM;0.039982;0.04000079;0.039964
11/4/2017 10:10:46 PM;0.039982;0.04000079;0.03989216
11/4/2017 10:10:57 PM;0.039964;0.04000079;0.039969
11/4/2017 10:11:06 PM;0.039969;0.04000079;0.0399692
11/4/2017 10:11:16 PM;0.039972;0.04000079;0.03996388
11/4/2017 10:11:26 PM;0.03997;0.04000079;0.039969
11/4/2017 10:11:36 PM;0.039965;0.04000079;0.039969
11/4/2017 10:11:46 PM;0.03997;0.04000079;0.039969
11/4/2017 10:11:56 PM;0.040007;0.04000079;0.03996388
11/4/2017 10:12:06 PM;0.040002;0.04000079;0.03991803
11/4/2017 10:12:16 PM;0.039941;0.04000079;0.03996385
11/4/2017 10:12:26 PM;0.039941;0.04000079;0.03996385
11/4/2017 10:12:36 PM;0.039963;0.04000079;0.03996385
11/4/2017 10:12:46 PM;0.039963;0.04000079;0.039923
11/4/2017 10:12:56 PM;0.039963;0.04000196;0.039923
11/4/2017 10:13:07 PM;0.039948;0.04000196;0.03990104
11/4/2017 10:13:17 PM;0.039948;0.04000196;0.039906
11/4/2017 10:13:26 PM;0.039948;0.04000196;0.039906
11/4/2017 10:13:36 PM;0.039946;0.04000196;0.03990104
11/4/2017 10:13:46 PM;0.039946;0.04000196;0.039906
11/4/2017 10:13:56 PM;0.039947;0.04000196;0.039923
11/4/2017 10:14:06 PM;0.039947;0.04000196;0.039906
11/4/2017 10:14:16 PM;0.040045;0.04000196;0.03992297
11/4/2017 10:14:26 PM;0.039961;0.04000196;0.03992297
11/4/2017 10:14:36 PM;0.040034;0.04000196;0.03990103
11/4/2017 10:14:46 PM;0.040034;0.04000196;0.03990097
11/4/2017 10:14:56 PM;0.039947;0.04000196;0.03990097
11/4/2017 10:15:06 PM;0.039947;0.04000196;0.0399
11/4/2017 10:15:19 PM;0.039904;0.04000196;0.0399
11/4/2017 10:15:26 PM;0.039909;0.04000196;0.0399
11/4/2017 10:15:36 PM;0.039921;0.04000196;0.0399
11/4/2017 10:15:46 PM;0.039916;0.04000196;0.0399
11/4/2017 10:15:56 PM;0.039902;0.04000196;0.0399
11/4/2017 10:16:06 PM;0.039928;0.04000196;0.0399
11/4/2017 10:16:16 PM;0.039928;0.04000196;0.03989131
11/4/2017 10:16:26 PM;0.039887;0.04000196;0.03981
11/4/2017 10:16:36 PM;0.039926;0.04000196;0.0399
11/4/2017 10:16:46 PM;0.039904;0.04000196;0.03981105
11/4/2017 10:16:56 PM;0.039924;0.04000196;0.039895
11/4/2017 10:17:07 PM;0.039924;0.0400034;0.03981345
11/4/2017 10:17:16 PM;0.039924;0.0400034;0.03981345
11/4/2017 10:17:26 PM;0.039924;0.0400034;0.03981345
11/4/2017 10:17:36 PM;0.039924;0.04015396;0.039895
11/4/2017 10:17:50 PM;0.0399;0.04012599;0.03981033
11/4/2017 10:17:56 PM;0.039926;0.04012599;0.03981046
11/4/2017 10:18:06 PM;0.039902;0.04012599;0.03981068
11/4/2017 10:18:16 PM;0.039948;0.04012599;0.03981607
11/4/2017 10:18:26 PM;0.039941;0.04012599;0.03981607
11/4/2017 10:18:36 PM;0.039959;0.04012599;0.03988997
11/4/2017 10:18:46 PM;0.039959;0.04012599;0.039894
11/4/2017 10:18:56 PM;0.039935;0.04012599;0.0399
11/4/2017 10:19:06 PM;0.039945;0.04012599;0.03984701
11/4/2017 10:19:16 PM;0.039945;0.04012599;0.03985701
11/4/2017 10:19:26 PM;0.039945;0.04012599;0.0399
11/4/2017 10:19:36 PM;0.039945;0.04012599;0.039901
11/4/2017 10:19:46 PM;0.039909;0.04012599;0.039901
11/4/2017 10:19:56 PM;0.039916;0.04012599;0.039901
11/4/2017 10:20:06 PM;0.039934;0.04012599;0.03987271
11/4/2017 10:20:16 PM;0.039928;0.04012599;0.0399
11/4/2017 10:20:27 PM;0.039928;0.04012599;0.0399
11/4/2017 10:20:36 PM;0.039937;0.04012599;0.03987271
11/4/2017 10:20:47 PM;0.039953;0.04012599;0.039895
11/4/2017 10:20:56 PM;0.039951;0.04012599;0.039895
11/4/2017 10:21:06 PM;0.039918;0.04000435;0.0399
11/4/2017 10:21:16 PM;0.039947;0.04000435;0.039901
11/4/2017 10:21:26 PM;0.039947;0.04000435;0.03990004
11/4/2017 10:21:36 PM;0.039949;0.04000435;0.03990004
11/4/2017 10:21:46 PM;0.039949;0.04000435;0.03990004
11/4/2017 10:21:56 PM;0.039948;0.04011496;0.03990004
